X1_1,resid,hhid,mail,vote2006,vote2008,vote2010,vote2011,vote2012,vote2014,d_age,age_miss,d_gend_female,d_gend_unknown,d_race_blk,d_race_hsp,d_race_oth,d_days,days_miss,sdef,never_voted,open,vote_year
7114,7114,2576,1,1,1,1,1,1,1,63,0,0,0,1,0,0,1497,0,0,0,1,2014
7270,7270,6716,1,1,1,1,1,1,1,76,0,0,0,1,0,0,1494,0,0,0,1,2014
7316,7316,17062,1,0,0,0,0,0,1,40.967773,1,0,0,1,0,0,825,0,1,1,1,2014
7610,7610,2441,1,0,0,0,1,1,1,40.967773,1,0,1,1,0,0,1489,0,0,0,1,2014
7657,7657,5143,1,0,1,0,0,1,1,33,0,1,0,1,0,0,1630,0,0,0,1,2014
7682,7682,18602,1,0,0,0,0,0,1,40.967773,1,0,1,1,0,0,1519,0,1,1,1,2014
7765,7765,11706,1,0,0,0,0,0,1,23,0,1,0,1,0,0,1281,0,1,1,1,2014
7796,7796,13709,1,0,1,1,1,1,1,63,0,0,0,1,0,0,909,0,0,0,1,2014
7827,7827,8070,1,0,0,0,0,0,1,59,0,0,0,1,0,0,7347,0,0,0,0,2014
7888,7888,18286,1,0,0,0,0,0,1,40.967773,1,0,0,1,0,0,627,0,0,1,1,2014
8094,8094,10338,1,0,0,0,0,0,1,23,0,0,1,1,0,0,1336,0,1,1,1,2014
8226,8226,15199,1,0,0,0,0,0,1,20,0,1,0,1,0,0,238,0,0,1,1,2014
8646,8646,16887,1,0,0,0,0,0,1,40.967773,1,0,0,1,0,0,1215,0,1,1,1,2014
8729,8729,13898,1,0,0,0,0,0,1,20,0,1,0,1,0,0,111,0,0,1,1,2014
8798,8798,18661,1,0,0,0,0,0,1,24,0,1,0,1,0,0,1551,0,1,1,0,2014
8811,8811,15477,1,1,1,0,1,1,1,40,0,1,0,1,0,0,2222,0,0,0,1,2014
9116,9116,3894,1,0,1,1,1,1,1,40.967773,1,1,0,0,0,0,2484,0,0,0,1,2014
9127,9127,1583,1,0,1,1,1,1,1,68,0,0,0,0,0,0,251,0,0,0,0,2014
