Name                                                      ,Institution                                                                ,Project Type   ,Cost
Kingue Aval Hydro                                         ,Asonha Energie S. A.                                                       ,ProjectClimate ,191M
Masrik-1 Solar Plant                                      ,FRV Masrik Closed Joint Stock Company                                      ,ProjectClimate ,57M
Simusolar                                                 ,Simusolar                                                                  ,CompanyClimate ,4M
Kube Energy                                               ,Kube Energy                                                                ,ProjectClimate ,6M
Tulu Moye Geothermal Plant                                ,Tulu Moye Geothermal Operations Plc                                        ,ProjectClimate ,250M
Mazar Power Plant                                         ,Ghazanfar Group                                                            ,ProjectClimate ,92M
d.light - Loan Facility                                   ,d.light                                                                    ,CompanyClimate ,200K
Lotus Onshore Wind Power Project                          ,RENOVA Inc                                                                 ,ProjectClimate ,248M
Northeastern Clean Electrification Project                ,Companhia de Eletricidade do Estado da Bahia (Coelba)                      ,ProjectClimate ,537M
Tata Cleantech - Climate Change Management (TCCL)         ,Tata Cleantech Capital Limited                                             ,CompanyClimate ,130M
Sistema de Credito Cooperativo Brazil (SICREDI)           ,Sistema de Cr\'e9dito Cooperativo                                          ,ProjectClimate ,135M
Alturas de Ovalle Solar Power Project                     ,Grenergy Renovables                                                        ,ProjectClimate ,6M
Grupo Corinsa                                             ,Grupo Corinsa                                                              ,ProjectClimate ,10M
El Olivo Solar Power Project                              ,Grenergy Renovables                                                        ,ProjectClimate ,6M
Invema Honduras                                           ,Invema                                                                     ,ProjectClimate ,12M
TicoFrut Biomass Cogeneration Plant                       ,TicoFrut SA                                                                ,ProjectClimate ,10M
Casablanca Giacote Solar Power Project                    ,"Sky Solar Holdings, Ltd."                                                 ,ProjectClimate ,121M
Cerro Pabellin Geothermal Power Plant                     ,Enel                                                                       ,ProjectClimate ,502M
Kattan Group                                              ,Kattan Group                                                               ,ProjectClimate ,6M
Kesses I                                                  ,Alten Energ\'edas Renovables                                               ,ProjectClimate ,87M
San Juan Solar PV (Cordillera Solar I)                    ,Cordillera Solar I S.A                                                     ,ProjectClimate ,125M
Achiras Wind Farm                                         ,Central Puerto                                                             ,ProjectClimate ,81M
Salima Solar Power Plant                                  ,JCM Matswani Solar Corp Limited                                            ,ProjectClimate ,91M
Kingo Energy - Series C                                   ,Kingo Energy                                                               ,CompanyClimate ,10M
Sigora Haiti Microutility Project                         ,Sigora International                                                       ,ProjectClimate ,14M
Providencia Solar and Battery Energy Storage System       ,Neoen                                                                      ,ProjectClimate ,149M
Capella Solar and Battery Energy Storage System           ,Neoen                                                                      ,ProjectClimate ,151M
Bosques Solares Los Llanos                                ,Matrix Renewables SL                                                       ,ProjectClimate ,66M
Soleco Energy Limited                                     ,Soleco Energy Limited                                                      ,ProjectClimate ,33M
Pakistan Distributed Solar Project (PDSP)                 ,JS Bank                                                                    ,CompanyClimate ,45M
Pareng Hydropower Project                                 ,Virtuaal Infrapower Private Ltd.                                           ,ProjectClimate ,28M
Keyi Hydropower Project                                   ,Virtuaal Infrapower Private Ltd.                                           ,ProjectClimate ,39M
BBOXX Capital Limited                                     ,BBOXX                                                                      ,CompanyClimate ,43M
Golomoti Solar Power                                      ,Golomoti JCM UK Limited                                                    ,ProjectClimate ,36M
Urbasolar Solar Project                                   ,Urbasolar                                                                  ,ProjectClimate ,42M
Daybreak Power Solutions                                  ,Daystar Power Group                                                        ,ProjectClimate ,40M
Cubico Alten Aguascalientes Solar PV Project              ,Cubico-Alten                                                               ,ProjectClimate ,368M
Hidronormandia HPP                                        ,Hidronormandia S.A.                                                        ,ProjectClimate ,111M
Guanajuato Solar PV Plant                                 ,X-Elio                                                                     ,ProjectClimate ,63M
Wind Calama                                               ,Engie                                                                      ,ProjectClimate ,153M
Lar do Sol-Casablanca Solar PV Project                    ,Atlas Renewable Energy                                                     ,ProjectClimate ,183M
Bright Mexico                                             ,Bright Exchange SAPI de CV                                                 ,CompanyClimate ,15M
Singrobo-Ahouaty Hydropower Project                       ,Ivoire Hydro Energy (IHE)                                                  ,ProjectClimate ,214M
Shams Power Local Currency Guarantee                      ,Shams Power                                                                ,CompanyClimate ,11M
BBOXX Local Currency Guarantee                            ,BBOXX                                                                      ,CompanyClimate ,15M
Central Solar de Mocuba Power Plant                       ,Central Solar de Mocuba (CESOM)                                            ,ProjectClimate ,79M
Natelu & Yarnel Solar Power Project                       ,Solaria Energeda Generacion Renovable                                      ,ProjectClimate ,33M
PowerGen Nigeria Assets                                   ,PowerGen                                                                   ,ProjectClimate ,9M
Ghoubet Djibouti Wind Farm                                ,Red Sea Power Limited SAS                                                  ,ProjectClimate ,176M
Assela Wind Power Project                                 ,Ethiopia Electric Power (EEP)                                              ,ProjectClimate ,178M
Yoma Micro Power                                          ,Yoma Micro Power Myanmar Ltd.                                              ,CompanyClimate ,204M
Escotel Africa                                            ,Escotel Mauritius                                                          ,CompanyClimate ,35M
Central Termica De Temane                                 ,"Central Termica de Temane, S.A."                                          ,ProjectClimate ,624M
Jacaranda                                                 ,Atlas Renewable Energy                                                     ,ProjectClimate ,141M
Xoxocotla Solar PV                                        ,X-Elio                                                                     ,ProjectClimate ,39M
Tororo Solar Plant                                        ,Tororo Solar North Ltd.                                                    ,ProjectClimate ,28M
Nyamwamba I Hydropower Plant                              ,EMS Africa Nyamwamba Ltd.                                                  ,ProjectClimate ,41M
Soroti Solar Plant                                        ,Access Uganda Solar Ltd.                                                   ,ProjectClimate ,24M
